alias,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url
bliss-san-antonio,"[{'alias': 'newamerican', 'title': 'American (New)'}]","{'latitude': 29.41118, 'longitude': -98.48703}",(210) 225-2547,9623.06633485972,pRp4lpOqcvDTWkCY1ShQDg,https://s3-media2.fl.yelpcdn.com/bphoto/4IcftQAoTOUhSefJOnRDxg/o.jpg,False,"{'address1': '926 S Presa St', 'address2': '', 'address3': '', 'city': 'San Antonio', 'zip_code': '78210', 'country': 'US', 'state': 'TX', 'display_address': ['926 S Presa St', 'San Antonio, TX 78210']}",Bliss,+12102252547,$$$,4.5,553,['delivery'],https://www.yelp.com/biz/bliss-san-antonio?adjust_creative=Lhvl9SWFDeWvFL0GaFLIsw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Lhvl9SWFDeWvFL0GaFLIsw
whiskey-cake-san-antonio-5,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]","{'latitude': 29.593213, 'longitude': -98.611468}",(210) 236-8095,14449.813884542675,lHQUmNEMXFiHUfBWPZ7Odw,https://s3-media3.fl.yelpcdn.com/bphoto/50iI7tV36xOaRn3hPdOvGg/o.jpg,False,"{'address1': '15900 La Cantera Pkwy', 'address2': 'Ste 21200', 'address3': None, 'city': 'San Antonio', 'zip_code': '78256', 'country': 'US', 'state': 'TX', 'display_address': ['15900 La Cantera Pkwy', 'Ste 21200', 'San Antonio, TX 78256']}",Whiskey Cake,+12102368095,$$,4.0,1377,[],https://www.yelp.com/biz/whiskey-cake-san-antonio-5?adjust_creative=Lhvl9SWFDeWvFL0GaFLIsw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Lhvl9SWFDeWvFL0GaFLIsw
southerleigh-fine-food-and-brewery-san-antonio,"[{'alias': 'breweries', 'title': 'Breweries'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'bars', 'title': 'Bars'}]","{'latitude': 29.4425389496087, 'longitude': -98.480661821962}",(210) 455-5701,6631.310328751167,mlrX_eT46F_WjEcNNDqg-g,https://s3-media2.fl.yelpcdn.com/bphoto/2cszXEJvLsXBFi4AhScaIw/o.jpg,False,"{'address1': '136 E Grayson St', 'address2': 'Ste 120', 'address3': '', 'city': 'San Antonio', 'zip_code': '78215', 'country': 'US', 'state': 'TX', 'display_address': ['136 E Grayson St', 'Ste 120', 'San Antonio, TX 78215']}",Southerleigh Fine Food and Brewery,+12104555701,$$,4.0,1079,[],https://www.yelp.com/biz/southerleigh-fine-food-and-brewery-san-antonio?adjust_creative=Lhvl9SWFDeWvFL0GaFLIsw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Lhvl9SWFDeWvFL0GaFLIsw
biga-on-the-banks-san-antonio,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}, {'alias': 'desserts', 'title': 'Desserts'}]","{'latitude': 29.42369, 'longitude': -98.492}",(210) 225-0722,8137.157164160428,n1QMj77k8tWEeqSe8cnRTA,https://s3-media2.fl.yelpcdn.com/bphoto/GZF6spdb4Tkge6Lw0aDpwg/o.jpg,False,"{'address1': '203 S Saint Marys St', 'address2': 'Ste 100', 'address3': '', 'city': 'San Antonio', 'zip_code': '78205', 'country': 'US', 'state': 'TX', 'display_address': ['203 S Saint Marys St', 'Ste 100', 'San Antonio, TX 78205']}",Biga On The Banks,+12102250722,$$$,4.5,727,['delivery'],https://www.yelp.com/biz/biga-on-the-banks-san-antonio?adjust_creative=Lhvl9SWFDeWvFL0GaFLIsw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Lhvl9SWFDeWvFL0GaFLIsw
tycoon-flats-san-antonio-2,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'newamerican', 'title': 'American (New)'}]","{'latitude': 29.45228, 'longitude': -98.48491}",(210) 320-0819,5492.3288132338575,y0G19V0kCxK3XDE4PuEjKw,https://s3-media3.fl.yelpcdn.com/bphoto/ulh4HRZSgEoZSkcuWuaH4w/o.jpg,False,"{'address1': '2926 N Saint Marys St', 'address2': '', 'address3': '', 'city': 'San Antonio', 'zip_code': '78212', 'country': 'US', 'state': 'TX', 'display_address': ['2926 N Saint Marys St', 'San Antonio, TX 78212']}",Tycoon Flats,+12103200819,$$,4.0,795,['delivery'],https://www.yelp.com/biz/tycoon-flats-san-antonio-2?adjust_creative=Lhvl9SWFDeWvFL0GaFLIsw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Lhvl9SWFDeWvFL0GaFLIsw
picnikins-patio-cafe-san-antonio,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]","{'latitude': 29.51892, 'longitude': -98.50789}",(210) 616-0954,2758.8237756116373,jpkIekRcJwkheofnq4tyvw,https://s3-media2.fl.yelpcdn.com/bphoto/4pYegdvuamQNIUCzb38eoA/o.jpg,False,"{'address1': '6901 Blanco Rd', 'address2': '', 'address3': '', 'city': 'San Antonio', 'zip_code': '78216', 'country': 'US', 'state': 'TX', 'display_address': ['6901 Blanco Rd', 'San Antonio, TX 78216']}",Picnikins Patio Cafe,+12106160954,$$,4.5,405,['delivery'],https://www.yelp.com/biz/picnikins-patio-cafe-san-antonio?adjust_creative=Lhvl9SWFDeWvFL0GaFLIsw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Lhvl9SWFDeWvFL0GaFLIsw
cappys-restaurant-san-antonio,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'bars', 'title': 'Bars'}]","{'latitude': 29.4726367, 'longitude': -98.4633888}",(210) 828-9669,5501.003111445088,eglk84L_IwvD4KwPk0Rq3w,https://s3-media3.fl.yelpcdn.com/bphoto/sNI-fXqJ96SQvaahL_XFQw/o.jpg,False,"{'address1': '5011 Broadway St', 'address2': '', 'address3': '', 'city': 'San Antonio', 'zip_code': '78209', 'country': 'US', 'state': 'TX', 'display_address': ['5011 Broadway St', 'San Antonio, TX 78209']}",Cappy's Restaurant,+12108289669,$$,4.5,438,[],https://www.yelp.com/biz/cappys-restaurant-san-antonio?adjust_creative=Lhvl9SWFDeWvFL0GaFLIsw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Lhvl9SWFDeWvFL0GaFLIsw
stella-public-house-san-antonio,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}]","{'latitude': 29.409946, 'longitude': -98.495517}",(210) 277-7047,9571.434425232646,oLdog5Vfrxo_E99A_zMypQ,https://s3-media1.fl.yelpcdn.com/bphoto/9xrTzVcEsjC4J1SRHi8iAw/o.jpg,False,"{'address1': '1414 S Alamo St', 'address2': 'Ste 103', 'address3': '', 'city': 'San Antonio', 'zip_code': '78210', 'country': 'US', 'state': 'TX', 'display_address': ['1414 S Alamo St', 'Ste 103', 'San Antonio, TX 78210']}",Stella Public House,+12102777047,$$,4.0,665,"['delivery', 'pickup']",https://www.yelp.com/biz/stella-public-house-san-antonio?adjust_creative=Lhvl9SWFDeWvFL0GaFLIsw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Lhvl9SWFDeWvFL0GaFLIsw
las-canarias-san-antonio,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'buffets', 'title': 'Buffets'}]","{'latitude': 29.4251935550079, 'longitude': -98.4899110856117}",(210) 518-1063,8056.5565219330065,DCpLIlaGzsC8mG2077eANw,https://s3-media2.fl.yelpcdn.com/bphoto/1HdJW8yxqR95VMkKzoeZRw/o.jpg,False,"{'address1': '112 College St', 'address2': '', 'address3': '', 'city': 'San Antonio', 'zip_code': '78205', 'country': 'US', 'state': 'TX', 'display_address': ['112 College St', 'San Antonio, TX 78205']}",Las Canarias,+12105181063,$$,4.0,478,['delivery'],https://www.yelp.com/biz/las-canarias-san-antonio?adjust_creative=Lhvl9SWFDeWvFL0GaFLIsw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Lhvl9SWFDeWvFL0GaFLIsw
the-bread-box-san-antonio,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'newamerican', 'title': 'American (New)'}]","{'latitude': 29.5790660823088, 'longitude': -98.499714738381}",(210) 277-8612,9516.873013977325,_8CAyUIaJkgUqHtZATy-lQ,https://s3-media1.fl.yelpcdn.com/bphoto/CA6wN32Yw129P__ShauHKA/o.jpg,False,"{'address1': '555 W Bitters Rd', 'address2': '', 'address3': '', 'city': 'San Antonio', 'zip_code': '78216', 'country': 'US', 'state': 'TX', 'display_address': ['555 W Bitters Rd', 'San Antonio, TX 78216']}",The Bread Box,+12102778612,$$,4.5,289,"['delivery', 'pickup']",https://www.yelp.com/biz/the-bread-box-san-antonio?adjust_creative=Lhvl9SWFDeWvFL0GaFLIsw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Lhvl9SWFDeWvFL0GaFLIsw
supper-san-antonio-2,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]","{'latitude': 29.4428615387664, 'longitude': -98.4810031048935}",(210) 448-8351,6583.825696088776,JS3gCbLH6Gkz_6lJR6AMQA,https://s3-media3.fl.yelpcdn.com/bphoto/O41j-i8z0D0S1ttBQ3LYiQ/o.jpg,False,"{'address1': '132 E Grayson St', 'address2': '', 'address3': '', 'city': 'San Antonio', 'zip_code': '78215', 'country': 'US', 'state': 'TX', 'display_address': ['132 E Grayson St', 'San Antonio, TX 78215']}",Supper,+12104488351,$$,4.0,444,['delivery'],https://www.yelp.com/biz/supper-san-antonio-2?adjust_creative=Lhvl9SWFDeWvFL0GaFLIsw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Lhvl9SWFDeWvFL0GaFLIsw
down-on-grayson-san-antonio-2,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'beerbar', 'title': 'Beer Bar'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]","{'latitude': 29.4439930070745, 'longitude': -98.4782447700663}",(210) 248-9244,6611.926629847822,oVASyewXkfUUXb2k2nOaKw,https://s3-media3.fl.yelpcdn.com/bphoto/47wGUJIrj2DF0h2k7idhdg/o.jpg,False,"{'address1': '303 E Grayson St', 'address2': None, 'address3': '', 'city': 'San Antonio', 'zip_code': '78215', 'country': 'US', 'state': 'TX', 'display_address': ['303 E Grayson St', 'San Antonio, TX 78215']}",Down on Grayson,+12102489244,$$,4.0,681,[],https://www.yelp.com/biz/down-on-grayson-san-antonio-2?adjust_creative=Lhvl9SWFDeWvFL0GaFLIsw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Lhvl9SWFDeWvFL0GaFLIsw
outlaw-kitchens-san-antonio,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'cafes', 'title': 'Cafes'}]","{'latitude': 29.4546217, 'longitude': -98.5029868}",(210) 300-4728,4563.272003575844,uw5b_6gdZ6hYsCz75lwBXg,https://s3-media2.fl.yelpcdn.com/bphoto/p2Zk1hgNwR-lTFPl_5n61g/o.jpg,False,"{'address1': '2919 N Flores St', 'address2': None, 'address3': '', 'city': 'San Antonio', 'zip_code': '78212', 'country': 'US', 'state': 'TX', 'display_address': ['2919 N Flores St', 'San Antonio, TX 78212']}",Outlaw Kitchens,+12103004728,$$,5.0,115,[],https://www.yelp.com/biz/outlaw-kitchens-san-antonio?adjust_creative=Lhvl9SWFDeWvFL0GaFLIsw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Lhvl9SWFDeWvFL0GaFLIsw
maxs-wine-dive-san-antonio-san-antonio-2,"[{'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]","{'latitude': 29.49649, 'longitude': -98.47849}",(210) 444-9547,3477.473761457342,npasNPLckc0XHKnScB4wmQ,https://s3-media4.fl.yelpcdn.com/bphoto/JLyw543WFEi0lDygBasIMw/o.jpg,False,"{'address1': '340 E Basse Rd', 'address2': 'Ste 101', 'address3': '', 'city': 'San Antonio', 'zip_code': '78209', 'country': 'US', 'state': 'TX', 'display_address': ['340 E Basse Rd', 'Ste 101', 'San Antonio, TX 78209']}",MAX's Wine Dive - San Antonio,+12104449547,$$,3.5,679,"['delivery', 'pickup']",https://www.yelp.com/biz/maxs-wine-dive-san-antonio-san-antonio-2?adjust_creative=Lhvl9SWFDeWvFL0GaFLIsw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Lhvl9SWFDeWvFL0GaFLIsw
perrys-steakhouse-and-grille-la-cantera-san-antonio,"[{'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'newamerican', 'title': 'American (New)'}]","{'latitude': 29.5932077735882, 'longitude': -98.6110403886035}",(210) 558-6161,14422.525726116099,PsysXkAtN_X-jkmuSSt_kw,https://s3-media2.fl.yelpcdn.com/bphoto/RZjhFi07wni_ZuONni-pPQ/o.jpg,False,"{'address1': '15900 La Cantera Pkwy', 'address2': 'Ste 22200', 'address3': '', 'city': 'San Antonio', 'zip_code': '78256', 'country': 'US', 'state': 'TX', 'display_address': ['15900 La Cantera Pkwy', 'Ste 22200', 'San Antonio, TX 78256']}",Perry's Steakhouse & Grille - La Cantera,+12105586161,$$$,4.0,464,['delivery'],https://www.yelp.com/biz/perrys-steakhouse-and-grille-la-cantera-san-antonio?adjust_creative=Lhvl9SWFDeWvFL0GaFLIsw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Lhvl9SWFDeWvFL0GaFLIsw
boiler-house-texas-grill-and-wine-garden-san-antonio,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]","{'latitude': 29.443453, 'longitude': -98.480389}",(210) 354-4644,6556.269436574538,i8iLLTjW-_RzvXxlRVpsGg,https://s3-media4.fl.yelpcdn.com/bphoto/3Ncn6-OQEhKxyjA5vtWuHA/o.jpg,False,"{'address1': '312 Pearl Pkwy', 'address2': 'Bldg 3', 'address3': '', 'city': 'San Antonio', 'zip_code': '78215', 'country': 'US', 'state': 'TX', 'display_address': ['312 Pearl Pkwy', 'Bldg 3', 'San Antonio, TX 78215']}",Boiler House Texas Grill & Wine Garden,+12103544644,$$,3.5,716,"['delivery', 'pickup']",https://www.yelp.com/biz/boiler-house-texas-grill-and-wine-garden-san-antonio?adjust_creative=Lhvl9SWFDeWvFL0GaFLIsw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Lhvl9SWFDeWvFL0GaFLIsw
yard-house-san-antonio-2,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'vegetarian', 'title': 'Vegetarian'}]","{'latitude': 29.423284, 'longitude': -98.485064}",(210) 354-3844,8406.487040615479,q4cLyDHBsJJKC4TF4nytDw,https://s3-media3.fl.yelpcdn.com/bphoto/_9YJDXnbepb2NLCrPNVXWQ/o.jpg,False,"{'address1': '849 E Commerce St', 'address2': None, 'address3': None, 'city': 'San Antonio', 'zip_code': '78205', 'country': 'US', 'state': 'TX', 'display_address': ['849 E Commerce St', 'San Antonio, TX 78205']}",Yard House,+12103543844,$$,4.0,539,"['delivery', 'pickup']",https://www.yelp.com/biz/yard-house-san-antonio-2?adjust_creative=Lhvl9SWFDeWvFL0GaFLIsw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Lhvl9SWFDeWvFL0GaFLIsw
jamaica-jamaica-cuisine-san-antonio,"[{'alias': 'caribbean', 'title': 'Caribbean'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'newamerican', 'title': 'American (New)'}]","{'latitude': 29.502487344186, 'longitude': -98.4164711460471}",(210) 590-0515,9520.183191400758,s5NDZKT4dI9_KS5LK9UhTA,https://s3-media1.fl.yelpcdn.com/bphoto/yJ7vmI3HmPCINGBqRMo-GA/o.jpg,False,"{'address1': '2026 Austin Hwy', 'address2': '', 'address3': '', 'city': 'San Antonio', 'zip_code': '78218', 'country': 'US', 'state': 'TX', 'display_address': ['2026 Austin Hwy', 'San Antonio, TX 78218']}",Jamaica Jamaica Cuisine,+12105900515,$$,4.0,319,['delivery'],https://www.yelp.com/biz/jamaica-jamaica-cuisine-san-antonio?adjust_creative=Lhvl9SWFDeWvFL0GaFLIsw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Lhvl9SWFDeWvFL0GaFLIsw
maverick-texas-brasserie-san-antonio,"[{'alias': 'comfortfood', 'title': 'Comfort Food'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'brasseries', 'title': 'Brasseries'}]","{'latitude': 29.417631, 'longitude': -98.490007}",(210) 973-6050,8861.22144709602,ymLDUAQv7WqSp0WacIlGpQ,https://s3-media1.fl.yelpcdn.com/bphoto/bkMco1dGXMvZ6V0_E_9_Xw/o.jpg,False,"{'address1': ""710 S St Mary's St"", 'address2': '', 'address3': None, 'city': 'San Antonio', 'zip_code': '78205', 'country': 'US', 'state': 'TX', 'display_address': [""710 S St Mary's St"", 'San Antonio, TX 78205']}",Maverick Texas Brasserie,+12109736050,$$,4.0,326,['delivery'],https://www.yelp.com/biz/maverick-texas-brasserie-san-antonio?adjust_creative=Lhvl9SWFDeWvFL0GaFLIsw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Lhvl9SWFDeWvFL0GaFLIsw
