,display_phone,distance,id,is_closed,name,phone,price,rating,review_count,transactions,address,longitude,latitude,categories,seperated_address,house_numbers,split_address,establishment,trimmed_name,clean_address
41,(210) 824-8686,6478.117811219411,jXeeiKvlk7JP_vJSbRyknw,False,SILO Alamo Heights,+12108248686,$$$,4.0,244,['delivery'],1133 austin hwy,-98.44808,29.48757,"['American (New)', 'Lounges']","['1133', 'austin', 'hwy']",1133,austin hwy,SILO Alamo Heights,silo alamo heights,austin hwy
42,(210) 821-3738,3373.3810366261146,rYnFtYX8U2Sm5aHlAhDb9g,False,Canyon Cafe,+12108213738,$$,3.5,303,['delivery'],255 e basse rd,-98.4796751405624,29.4970145459832,['American (New)'],"['255', 'e', 'basse', 'rd']",255,e basse rd,Canyon Cafe,cany cafe,e basse
43,(210) 731-8534,3360.225568664964,6v-cmn8zqBiPKIX35mP63g,False,Charcoal Grill Organic Restaurant,+12107318534,$$,4.5,112,[],110 n crossroads blvd,-98.549023,29.492151,"['American (New)', 'Gluten-Free']","['110', 'n', 'crossroads', 'blvd']",110,n crossroads blvd,Charcoal Grill Organic Restaurant,charcoal grill organic restaurant,n crossroads
44,(210) 858-4052,5558.188578919147,gCtxmu4-s2FPmVt8AJXxxQ,False,BurgerFi,+12108584052,$$,4.0,151,"['delivery', 'pickup']",1907 nacogdoches rd,-98.4586191773087,29.506322701852,"['Hot Dogs', 'American (New)', 'Burgers']","['1907', 'nacogdoches', 'rd']",1907,nacogdoches rd,BurgerFi,burgerfi,nacogdoches
45,(210) 737-2411,5410.3221538117905,BiNmstOGccF4-8Isfvgpuw,False,Bombay Bicycle Club,+12107372411,$$,4.0,167,['delivery'],3506 n saint marys st,-98.478578,29.457093,"['American (New)', 'Sports Bars', 'Burgers']","['3506', 'n', 'saint', 'marys', 'st']",3506,n saint marys st,Bombay Bicycle Club,bombay bicycle club,naint marys
46,(210) 877-5355,14670.94160006607,9IvCOANZzgnbEHrPpw5vQQ,False,Kona Grill,+12108775355,$$,3.5,535,"['delivery', 'pickup']",15900 la cantera pkwy,-98.614506,29.593554,"['Sushi Bars', 'American (New)']","['15900', 'la', 'cantera', 'pkwy']",15900,la cantera pkwy,Kona Grill,kon grill,la cantera pkwy
47,(210) 828-6860,5517.1481324245115,RfP3zhPpXZR83yHtjvwonA,False,Cappyccino's,+12108286860,$$,4.0,103,['delivery'],5003 broadway st,-98.463308,29.472451,['American (New)'],"['5003', 'broadway', 'st']",5003,broadway st,Cappyccino's,cappyccinos,broadway
48,(210) 433-9960,8818.552053566103,cXChKPJAQaRWTpNpk6wNpQ,False,Chunky's Burgers,+12104339960,$$,3.5,241,"['delivery', 'pickup']",4602 callaghan rd,-98.6020614576721,29.4728246965723,"['Burgers', 'American (New)']","['4602', 'callaghan', 'rd']",4602,callaghan rd,Chunky's Burgers,chunkys burgers,callaghan
49,(210) 828-3508,4579.81695716371,E5tdvAio8CPvFsFAzsj0Bw,False,Stone Werks Big Rock Grille - Lincoln Heights,+12108283508,$$,3.5,297,['delivery'],999 e basse rd,-98.4672100317383,29.4974449232158,"['American (New)', 'Breakfast & Brunch', 'Cocktail Bars']","['999', 'e', 'basse', 'rd']",999,e basse rd,Stone Werks Big Rock Grille - Lincoln Heights,stone werks big rock grille  lincoln heights,e basse
50,(210) 520-0706,9519.432890487078,B_-sdSVBpWsgKhF8T1wilQ,False,Leon Valley Cafe,+12105200706,$$,4.5,329,['delivery'],6417 evers rd,-98.61236,29.50152,"['American (New)', 'Cafes']","['6417', 'evers', 'rd']",6417,evers rd,Leon Valley Cafe,le valley cafe,evers
51,(210) 503-5121,4353.184906199618,5Oj72C1PsKWHYM25XiQgWw,False,Clementine San Antonio,+12105035121,$$$,4.5,121,['delivery'],2195 nw military hwy,-98.5221405,29.5324243,"['Southern', 'American (New)']","['2195', 'nw', 'military', 'hwy']",2195,nw military hwy,Clementine San Antonio,clementine s antonio,nw military hwy
52,(210) 224-3343,8404.647364166347,gHiyjLK8ugcxPeM3J8KvJw,False,Durty Nelly's Irish Pub,+12102243343,$$,3.5,263,[],200 s alamo st,-98.4877823521925,29.4224955442625,"['Pubs', 'American (New)', 'Irish Pub']","['200', 's', 'alamo', 'st']",200,s alamo st,Durty Nelly's Irish Pub,durty nellys irish pub,s alamo
53,(210) 236-5437,10663.11535145296,VJpFnNjUiWx7tddvuB5K8g,False,Twin Peaks,+12102365437,$$,3.5,235,"['delivery', 'pickup']",12790 w interstate 10,-98.591961,29.562571,"['American (New)', 'Sports Bars']","['12790', 'w', 'interstate', '10']",12790,w interstate 10,Twin Peaks,tw peaks,w interstate 10
54,(210) 824-8686,6478.117811219411,2XqrAAya6djfuus3W9y_ug,False,Nosh,+12108248686,$$,3.5,122,['delivery'],1133 austin hwy,-98.44808,29.48757,['American (New)'],"['1133', 'austin', 'hwy']",1133,austin hwy,Nosh,nosh,austin hwy
55,(210) 822-7272,8335.0609764391,EJuG-HM4iINp8pPg2ZiMvQ,False,Longhorn Cafe,+12108227272,$,4.0,101,['delivery'],1003 rittiman rd,-98.4288549375732,29.4858512867362,['American (New)'],"['1003', 'rittiman', 'rd']",1003,rittiman rd,Longhorn Cafe,longhorn cafe,rittiman
56,(210) 998-7601,3294.4299275900944,KZ11iOFNohT5JWULdUBZ3Q,False,Kona Grill,+12109987601,$$,3.5,208,[],7400 san pedro ave,-98.495302,29.518962,"['Sushi Bars', 'American (New)']","['7400', 'san', 'pedro', 'ave']",7400,san pedro ave,Kona Grill,kon grill,san pedroe
57,(210) 233-1199,10951.119633152519,IUO84Sl_4U7RV7Imz9jXyA,False,Native Grill & Wings,+12102331199,$$,3.5,184,"['pickup', 'delivery']",3238 wurzbach rd,-98.6234731,29.4676421,"['American (New)', 'Sports Bars', 'Chicken Wings']","['3238', 'wurzbach', 'rd']",3238,wurzbach rd,Native Grill & Wings,native grill  wings,wurzbach
58,(210) 447-7102,3000.2587072229107,lcLRd7I5iJdIqvAbIdktlQ,False,Twin Peaks,+12104477102,$$,3.0,230,['delivery'],702 nw loop 410,-98.503753,29.519778,"['American (New)', 'Sports Bars']","['702', 'nw', 'loop', '410']",702,nw loop 410,Twin Peaks,tw peaks,nw loop 410
59,(726) 900-7500,14414.111624704727,TM2ehhLvzDKAGc9rVxPR1A,False,Bar Louie,+17269007500,$$,3.5,283,['delivery'],15900 la cantera pkwy,-98.6109611262589,29.5931670801876,"['Bars', 'American (New)', 'Gastropubs']","['15900', 'la', 'cantera', 'pkwy']",15900,la cantera pkwy,Bar Louie,bar louie,la cantera pkwy
60,(210) 424-2014,3206.180052898768,-3VigdTJEhNZSsd2SXR7Uw,False,California Pizza Kitchen at Alamo Quarry Market,+12104242014,$$,3.5,105,['delivery'],255 e basse rd,-98.48149,29.497705,"['Pizza', 'American (New)', 'Salad']","['255', 'e', 'basse', 'rd']",255,e basse rd,California Pizza Kitchen at Alamo Quarry Market,californi pizz kitchen at alamo quarry market,e basse
61,(210) 554-1721,7874.911390759732,HocbcLmnvHvc642fvUET8A,False,Market on Houston,+12105541721,$$,3.0,215,['pickup'],205 e houston st,-98.4910097799047,29.4266100081512,"['American (New)', 'Pizza', 'Breakfast & Brunch']","['205', 'e', 'houston', 'st']",205,e houston st,Market on Houston,market  houston,e houston
62,(210) 224-7625,8076.172200947882,r2fYmxLsjGPIehjX4bqY9Q,False,Hard Rock Cafe,+12102247625,$$,3.0,362,"['pickup', 'delivery']",111 w crockett st,-98.48909,29.42524,"['American (New)', 'Burgers', 'Music Venues']","['111', 'w', 'crockett', 'st']",111,w crockett st,Hard Rock Cafe,hard rock cafe,w crockett
63,(210) 569-4453,6722.459927749111,9wB-gDK4KCduywgN23BflA,False,Crepelandia,+12105694453,$,4.0,42,[],306 pearl pkwy,-98.4799336,29.4419566,"['American (New)', 'Creperies']","['306', 'pearl', 'pkwy']",306,pearl pkwy,Crepelandia,crepelandia,pearl pkwy
64,(210) 699-4275,8923.411563831985,ODE2zOpEppIxhuUDS0IKDA,False,California Pizza Kitchen at San Antonio,+12106994275,$$,3.5,110,"['pickup', 'delivery']",11745 ih 10 w phase 418,-98.581744,29.54927,"['Pizza', 'American (New)', 'Salad']","['11745', 'ih', '10', 'w', 'phase', '418']",11745,ih 10 w phase 418,California Pizza Kitchen at San Antonio,californi pizz kitchen at s antonio,ih 10 phase 418
65,(210) 298-8040,8254.458042798598,vR7zr2Lq--B1g-wl8uSAvQ,False,Las Ramblas,+12102988040,$$$,3.5,137,['restaurant_reservation'],306 w market st,-98.489783,29.423367,"['American (New)', 'Breakfast & Brunch', 'Cocktail Bars']","['306', 'w', 'market', 'st']",306,w market st,Las Ramblas, ramblas,w market
66,(210) 270-0786,8389.502027766841,WVci8VJE2GnURs5sMEmFDQ,False,The River's Edge Cafe + Patio Bar,+12102700786,$$,3.0,171,['delivery'],200 s alamo st,-98.4877999,29.42234,"['Breakfast & Brunch', 'American (New)', 'Sandwiches']","['200', 's', 'alamo', 'st']",200,s alamo st,The River's Edge Cafe + Patio Bar, rivers edge cafe + patio bar,s alamo
67,(210) 490-6666,8434.612089716693,I04iCC6w_WcP3g0PCVY56g,False,EZ's Brick Oven and Grill,+12104906666,$,3.0,121,"['pickup', 'delivery']",734 bitters rd,-98.4835817119437,29.5653935348117,"['Burgers', 'Pizza', 'American (New)']","['734', 'bitters', 'rd']",734,bitters rd,EZ's Brick Oven and Grill,ezs brick oven and grill,bitters
68,(210) 877-9099,11829.904524576688,LrvuxEiZL5mn6GjlQQ02SA,False,The Well Restaurant.    Drink + Dine + Dance,+12108779099,$$,2.5,225,"['pickup', 'delivery']",5539 utsa blvd,-98.5924062877893,29.5763703824102,"['Bars', 'Music Venues', 'American (New)']","['5539', 'utsa', 'blvd']",5539,utsa blvd,The Well Restaurant.    Drink + Dine + Dance, well restaurant.    drink + dine + dance,utsa
69,(210) 496-9400,8464.987510476953,T5p7wY4Zn6sBcWTS_nh3DQ,False,Wing Daddy's Sauce House,+12104969400,$$,2.5,148,['delivery'],903 e bitters rd,-98.4788363907882,29.563991434561,['American (New)'],"['903', 'e', 'bitters', 'rd']",903,e bitters rd,Wing Daddy's Sauce House,wing daddys sauce house,e bitters
70,(210) 321-4860,3763.635643716246,FiDlrMGtZ1Lm8E0h90zM2w,False,Cascabel Restaurant,+12103214860,$$,3.5,16,['delivery'],37 ne loop 410,-98.49087,29.52147,"['American (New)', 'Breakfast & Brunch']","['37', 'ne', 'loop', '410']",37,ne loop 410,Cascabel Restaurant,cascab restaurant,ne loop 410
71,(210) 495-3447,11951.484544866362,57C7zHSto7HlSJR4XHO16Q,False,First Watch - Thousand Oaks,+12104953447,,4.0,16,[],16668 san pedro ave,-98.4713694,29.5951894,"['Cafes', 'Breakfast & Brunch', 'American (New)']","['16668', 'san', 'pedro', 'ave']",16668,san pedro ave,First Watch - Thousand Oaks,first watch  thousand oaks,san pedroe
72,(214) 282-3932,8327.147344686033,T5EIOlmzWAxnHXmBFd8T9Q,False,Gourmet On the Fly,+12142823932,$,4.0,7,[],,-98.5858154296875,29.4526869212149,"['Food Trucks', 'American (New)', 'Burgers']",[],,,Gourmet On the Fly,gourmet   fly,
73,,8710.955676097867,OsXbDpR8pkp4yCcDEG3bIw,False,The Magpie,,,5.0,4,[],1602 e houston st,-98.47308,29.42489,"['Korean', 'American (New)']","['1602', 'e', 'houston', 'st']",1602,e houston st,The Magpie, magpie,e houston
74,(210) 486-2328,10636.783285610241,UPwGd1u52mEpJbEeduAaHQ,False,Artemisia's At SPC,+12104862328,,5.0,3,[],1801 martin luther king dr,-98.45452,29.41401,"['Cafeteria', 'American (New)']","['1801', 'martin', 'luther', 'king', 'dr']",1801,martin luther king dr,Artemisia's At SPC,artemisias at spc,martin luther king
75,(210) 473-6377,11363.038520324568,iJxbQ9KAGFBabTJ_aNyCtQ,False,Chi Chi Birds Hot Chicken,+12104736377,,4.5,4,[],6422 babcock rd,-98.6156,29.54626,"['American (New)', 'Pop-Up Restaurants', 'Chicken Shop']","['6422', 'babcock', 'rd']",6422,babcock rd,Chi Chi Birds Hot Chicken,chi chi birds hot chicken,babcock
76,,8073.416704308992,UYS35udDfDUvZTkfA3eXZQ,False,Blazin' Burgers Food Truck,,$,3.5,8,[],,,,"['Street Vendors', 'American (New)', 'Food Trucks']",[],,,Blazin' Burgers Food Truck,blazin burgers food truck,
77,(210) 734-7184,5323.92218791589,WodoCjlSPnDx552pWJCUDQ,False,Zootennial Restaurant,+12107347184,$$,3.5,6,[],3903 n st mary's st,-98.4736340492963,29.4623022611927,"['Pizza', 'American (New)', 'Burgers']","['3903', 'n', 'st', ""mary's"", 'st']",3903,n st mary's st,Zootennial Restaurant,zootennial restaurant,n mary's
78,,6207.127139645585,r2lEgHINqEBwATcRrpgmDQ,False,Cilantro,,$$,4.0,4,[],1111 ne loop 410,-98.455688,29.517038,['American (New)'],"['1111', 'ne', 'loop', '410']",1111,ne loop 410,Cilantro,cilantro,ne loop 410
79,(210) 377-3900,3458.271024318643,-fh9rAYxKJkpPVS0fLx5Vg,False,Asado Urban Grill,+12103773900,$$$,3.0,7,[],3233 nw loop 410,-98.5475234985352,29.5061302185059,"['American (New)', 'Breakfast & Brunch', 'Bars']","['3233', 'nw', 'loop', '410']",3233,nw loop 410,Asado Urban Grill,asado urb grill,nw loop 410
80,(210) 223-3923,7973.463310788911,pov8efOwv9HcO54z7LZ7aQ,False,Judy's Food To Go,+12102233923,$,3.5,3,[],108 soledad st,-98.492729,29.425258,['American (New)'],"['108', 'soledad', 'st']",108,soledad st,Judy's Food To Go,judys food to go,soledad
81,(210) 525-9999,4987.9304736997365,yd7kkgeUZbbQot0uA4n6jQ,False,E’Terie Bar & Grill,+12105259999,,4.0,2,[],10110 us hwy 281 n,-98.4836581,29.5304421214427,"['Cocktail Bars', 'American (New)']","['10110', 'us', 'hwy', '281', 'n']",10110,us hwy 281 n,E’Terie Bar & Grill,e’terie bar  grill,us hwy 281
