,display_phone,distance,id,is_closed,name,phone,price,rating,review_count,transactions,address,longitude,latitude,categories
19,(210) 277-8612,9516.873013977325,_8CAyUIaJkgUqHtZATy-lQ,False,The Bread Box,+12102778612,$$,4.5,289,"['delivery', 'pickup']",555 w bitters rd,-98.499714738381,29.5790660823088,"['Bakeries', 'Sandwiches', 'American (New)']"
20,(210) 448-8351,6583.825696088776,JS3gCbLH6Gkz_6lJR6AMQA,False,Supper,+12104488351,$$,4.0,445,['delivery'],132 e grayson st,-98.4810031048935,29.4428615387664,"['American (New)', 'Breakfast & Brunch']"
21,(210) 248-9244,6611.926629847822,oVASyewXkfUUXb2k2nOaKw,False,Down on Grayson,+12102489244,$$,4.0,681,[],303 e grayson st,-98.4782447700663,29.4439930070745,"['American (New)', 'Beer Bar', 'Wine Bars']"
22,(210) 300-4728,4563.272003575844,uw5b_6gdZ6hYsCz75lwBXg,False,Outlaw Kitchens,+12103004728,$$,5.0,115,[],2919 n flores st,-98.5029868,29.4546217,"['American (New)', 'Cafes']"
23,(210) 444-9547,3477.473761457342,npasNPLckc0XHKnScB4wmQ,False,MAX's Wine Dive - San Antonio,+12104449547,$$,3.5,680,"['delivery', 'pickup']",340 e basse rd,-98.47849,29.49649,"['Wine Bars', 'American (New)', 'Breakfast & Brunch']"
24,(210) 558-6161,14422.525726116099,PsysXkAtN_X-jkmuSSt_kw,False,Perry's Steakhouse & Grille - La Cantera,+12105586161,$$$,4.0,464,['delivery'],15900 la cantera pkwy,-98.6110403886035,29.5932077735882,"['Steakhouses', 'Seafood', 'American (New)']"
25,(210) 354-4644,6556.269436574538,i8iLLTjW-_RzvXxlRVpsGg,False,Boiler House Texas Grill & Wine Garden,+12103544644,$$,3.5,719,"['delivery', 'pickup']",312 pearl pkwy,-98.480389,29.443453,"['American (New)', 'Breakfast & Brunch', 'Wine Bars']"
26,(210) 354-3844,8406.487040615479,q4cLyDHBsJJKC4TF4nytDw,False,Yard House,+12103543844,$$,4.0,539,"['delivery', 'pickup']",849 e commerce st,-98.485064,29.423284,"['American (New)', 'Bars', 'Vegetarian']"
27,(210) 590-0515,9520.183191400758,s5NDZKT4dI9_KS5LK9UhTA,False,Jamaica Jamaica Cuisine,+12105900515,$$,4.0,319,['delivery'],2026 austin hwy,-98.4164711460471,29.502487344186,"['Caribbean', 'Bars', 'American (New)']"
28,(210) 973-6050,8861.22144709602,ymLDUAQv7WqSp0WacIlGpQ,False,Maverick Texas Brasserie,+12109736050,$$,4.0,326,['delivery'],710 s st mary's st,-98.490007,29.417631,"['Comfort Food', 'American (New)', 'Brasseries']"
29,(210) 236-5134,11735.850300540777,10lsN6Ciaf0b6z9Ha0-_Iw,False,Picnikins Patio Cafe,+12102365134,$$,4.5,197,['delivery'],5811 university heights blvd,-98.597038,29.5717050510903,"['American (New)', 'American (Traditional)']"
30,(210) 532-2551,9724.988886321617,T3oCtbanG90JrCnVS6eLbg,False,Bite,+12105322551,$$,4.0,220,"['restaurant_reservation', 'delivery']",1012 s presa st,-98.4868185165329,29.4103426122861,"['French', 'American (New)', 'Wine Bars']"
31,(210) 223-3101,8897.561920585187,4XwckdO-Ep8hnUyBD4RYWw,False,Chart House,+12102233101,$$$,3.5,904,['delivery'],739 e césar e chávez blvd,-98.4844153,29.417013,"['Seafood', 'Steakhouses', 'American (New)']"
32,(210) 824-0275,3119.1998521160494,0oh-tWbIP7Suh4vYQEMbIw,False,J. Alexander's Restaurant,+12108240275,$$,4.0,320,[],255 east basse rd,-98.4821761714426,29.4945472623267,"['American (New)', 'Seafood', 'Steakhouses']"
33,(210) 802-1860,7629.17602552272,3nzrromr2ZfRwCjG4MSdCw,False,Pharm Table,+12108021860,$$,4.0,182,['delivery'],106 auditorium cir,-98.488109,29.42976,"['American (New)', 'Vegetarian', 'Cafes']"
34,(210) 396-5817,8098.00689412776,G1TA_O4ImM47WJhVCrGBWg,False,Ostra,+12103965817,$$$,3.5,389,['delivery'],212 w crockett st,-98.49056,29.42465,"['American (New)', 'Seafood', 'Breakfast & Brunch']"
35,(210) 352-3171,7862.022476607248,NAOHfkb9C6c834DH5Xu3kA,False,Rebelle,+12103523171,$$$,4.0,249,[],300 e travis st,-98.48957,29.42729,"['Seafood', 'American (New)', 'Steakhouses']"
36,(210) 556-8624,9322.274880656645,xSrHK8MdVm0IihVNfHM9vA,False,Benjies Munch,+12105568624,$$,4.5,116,['delivery'],1218 w bitters rd,-98.51214,29.5782,"['Food Trucks', 'Sandwiches', 'American (New)']"
37,(210) 354-3001,7717.221638210823,jeJU6D_Dan4hUT6Zvsqy9Q,False,Burleson Yard Beer Garden,+12103543001,$,4.0,156,[],430 austin st,-98.4783956408501,29.4325205189164,"['American (New)', 'Beer Gardens', 'Cocktail Bars']"
38,(210) 691-0033,14371.198829217921,X5y2lCbuF0THwrM5C83OKw,False,Yard House,+12106910033,$$,3.5,489,"['delivery', 'pickup']",15900 la cantera pkwy,-98.610752,29.592815,"['American (New)', 'Bars', 'Vegetarian']"
39,(210) 224-1976,8453.839373493045,BE13CTKdTAatznUAmVDuBg,False,Fig Tree Restaurant,+12102241976,$$$,4.0,183,['delivery'],515 villita st,-98.488253,29.421901,"['American (New)', 'French']"
40,(210) 202-2694,13553.12599461676,thoppZoZ0yzdlz-8RexoFg,False,Topgolf,+12102022694,$$,3.5,365,[],5539 n loop 1604 w,-98.594985,29.594147,"['American (New)', 'Golf', 'Sports Bars']"
41,(210) 824-8686,6478.117811219411,jXeeiKvlk7JP_vJSbRyknw,False,SILO Alamo Heights,+12108248686,$$$,4.0,244,['delivery'],1133 austin hwy,-98.44808,29.48757,"['American (New)', 'Lounges']"
42,(210) 821-3738,3373.3810366261146,rYnFtYX8U2Sm5aHlAhDb9g,False,Canyon Cafe,+12108213738,$$,3.5,302,['delivery'],255 e basse rd,-98.4796751405624,29.4970145459832,['American (New)']
43,(210) 731-8534,3360.225568664964,6v-cmn8zqBiPKIX35mP63g,False,Charcoal Grill Organic Restaurant,+12107318534,$$,4.5,112,[],110 n crossroads blvd,-98.549023,29.492151,"['American (New)', 'Gluten-Free']"
44,(210) 858-4052,5558.188578919147,gCtxmu4-s2FPmVt8AJXxxQ,False,BurgerFi,+12108584052,$$,4.0,148,"['delivery', 'pickup']",1907 nacogdoches rd,-98.4586191773087,29.506322701852,"['Hot Dogs', 'American (New)', 'Burgers']"
45,(210) 737-2411,5410.3221538117905,BiNmstOGccF4-8Isfvgpuw,False,Bombay Bicycle Club,+12107372411,$$,4.0,167,['delivery'],3506 n saint marys st,-98.478578,29.457093,"['American (New)', 'Sports Bars', 'Burgers']"
46,(210) 877-5355,14670.94160006607,9IvCOANZzgnbEHrPpw5vQQ,False,Kona Grill,+12108775355,$$,3.5,534,"['delivery', 'pickup']",15900 la cantera pkwy,-98.614506,29.593554,"['Sushi Bars', 'American (New)']"
47,(210) 828-6860,5517.1481324245115,RfP3zhPpXZR83yHtjvwonA,False,Cappyccino's,+12108286860,$$,4.0,102,['delivery'],5003 broadway st,-98.463308,29.472451,['American (New)']
48,(210) 433-9960,8818.552053566103,cXChKPJAQaRWTpNpk6wNpQ,False,Chunky's Burgers,+12104339960,$$,3.5,241,"['delivery', 'pickup']",4602 callaghan rd,-98.6020614576721,29.4728246965723,"['Burgers', 'American (New)']"
49,(210) 828-3508,4579.81695716371,E5tdvAio8CPvFsFAzsj0Bw,False,Stone Werks Big Rock Grille - Lincoln Heights,+12108283508,$$,3.5,297,[],999 e basse rd,-98.4672100317383,29.4974449232158,"['American (New)', 'Breakfast & Brunch', 'Cocktail Bars']"
50,(210) 520-0706,9519.432890487078,B_-sdSVBpWsgKhF8T1wilQ,False,Leon Valley Cafe,+12105200706,$$,4.5,329,[],6417 evers rd,-98.61236,29.50152,"['American (New)', 'Cafes']"
51,(210) 503-5121,4353.184906199618,5Oj72C1PsKWHYM25XiQgWw,False,Clementine San Antonio,+12105035121,$$$,4.5,120,[],2195 nw military hwy,-98.5221405,29.5324243,"['Southern', 'American (New)']"
52,(210) 236-5437,10663.11535145296,VJpFnNjUiWx7tddvuB5K8g,False,Twin Peaks,+12102365437,$$,3.5,237,"['delivery', 'pickup']",12790 w interstate 10,-98.591961,29.562571,"['American (New)', 'Sports Bars']"
53,(210) 224-3343,8404.647364166347,gHiyjLK8ugcxPeM3J8KvJw,False,Durty Nelly's Irish Pub,+12102243343,$$,3.5,263,[],200 s alamo st,-98.4877823521925,29.4224955442625,"['Pubs', 'American (New)', 'Irish Pub']"
54,(210) 824-8686,6478.117811219411,2XqrAAya6djfuus3W9y_ug,False,Nosh,+12108248686,$$,3.5,122,['delivery'],1133 austin hwy,-98.44808,29.48757,['American (New)']
55,(210) 822-7272,8335.0609764391,EJuG-HM4iINp8pPg2ZiMvQ,False,Longhorn Cafe,+12108227272,$,4.0,101,['delivery'],1003 rittiman rd,-98.4288549375732,29.4858512867362,['American (New)']
56,(210) 998-7601,3294.4299275900944,KZ11iOFNohT5JWULdUBZ3Q,False,Kona Grill,+12109987601,$$,3.5,208,[],7400 san pedro ave,-98.495302,29.518962,"['Sushi Bars', 'American (New)']"
57,(210) 233-1199,10951.119633152519,IUO84Sl_4U7RV7Imz9jXyA,False,Native Grill & Wings,+12102331199,$$,3.5,188,"['delivery', 'pickup']",3238 wurzbach rd,-98.6234731,29.4676421,"['American (New)', 'Sports Bars', 'Chicken Wings']"
58,(210) 447-7102,3000.2587072229107,lcLRd7I5iJdIqvAbIdktlQ,False,Twin Peaks,+12104477102,$$,3.0,230,['delivery'],702 nw loop 410,-98.503753,29.519778,"['American (New)', 'Sports Bars']"
59,(726) 900-7500,14414.111624704727,TM2ehhLvzDKAGc9rVxPR1A,False,Bar Louie,+17269007500,$$,3.5,281,['delivery'],15900 la cantera pkwy,-98.6109611262589,29.5931670801876,"['Bars', 'American (New)', 'Gastropubs']"
60,(210) 424-2014,3206.180052898768,-3VigdTJEhNZSsd2SXR7Uw,False,California Pizza Kitchen at Alamo Quarry Market,+12104242014,$$,3.5,105,['delivery'],255 e basse rd,-98.48149,29.497705,"['Pizza', 'American (New)', 'Salad']"
61,(210) 224-7625,8076.172200947882,r2fYmxLsjGPIehjX4bqY9Q,False,Hard Rock Cafe,+12102247625,$$,3.0,362,"['delivery', 'pickup']",111 w crockett st,-98.48909,29.42524,"['American (New)', 'Burgers', 'Music Venues']"
62,(210) 554-1721,7874.911390759732,HocbcLmnvHvc642fvUET8A,False,Market on Houston,+12105541721,$$,3.0,214,['pickup'],205 e houston st,-98.4910097799047,29.4266100081512,"['American (New)', 'Pizza', 'Breakfast & Brunch']"
63,(210) 569-4453,6722.459927749111,9wB-gDK4KCduywgN23BflA,False,Crepelandia,+12105694453,$,4.0,42,[],306 pearl pkwy,-98.4799336,29.4419566,"['American (New)', 'Creperies']"
64,(210) 699-4275,8923.411563831985,ODE2zOpEppIxhuUDS0IKDA,False,California Pizza Kitchen at San Antonio,+12106994275,$$,3.5,110,"['delivery', 'pickup']",11745 ih 10 w phase 418,-98.581744,29.54927,"['Pizza', 'American (New)', 'Salad']"
65,(210) 298-8040,8254.458042798598,vR7zr2Lq--B1g-wl8uSAvQ,False,Las Ramblas,+12102988040,$$$,3.5,137,['restaurant_reservation'],306 w market st,-98.489783,29.423367,"['American (New)', 'Breakfast & Brunch', 'Cocktail Bars']"
66,(210) 270-0786,8389.502027766841,WVci8VJE2GnURs5sMEmFDQ,False,The River's Edge Cafe + Patio Bar,+12102700786,$$,3.0,171,['delivery'],200 s alamo st,-98.4877999,29.42234,"['Breakfast & Brunch', 'American (New)', 'Sandwiches']"
67,(210) 490-6666,8434.612089716693,I04iCC6w_WcP3g0PCVY56g,False,EZ's Brick Oven and Grill,+12104906666,$,3.0,121,"['delivery', 'pickup']",734 bitters rd,-98.4835817119437,29.5653935348117,"['Burgers', 'Pizza', 'American (New)']"
68,(210) 877-9099,11829.904524576688,LrvuxEiZL5mn6GjlQQ02SA,False,The Well Restaurant.    Drink + Dine + Dance,+12108779099,$$,2.5,225,"['delivery', 'pickup']",5539 utsa blvd,-98.5924062877893,29.5763703824102,"['Bars', 'Music Venues', 'American (New)']"
69,(210) 496-9400,8464.987510476953,T5p7wY4Zn6sBcWTS_nh3DQ,False,Wing Daddy's Sauce House,+12104969400,$$,2.5,147,['delivery'],903 e bitters rd,-98.4788363907882,29.563991434561,['American (New)']
70,(210) 321-4860,3763.635643716246,FiDlrMGtZ1Lm8E0h90zM2w,False,Cascabel Restaurant,+12103214860,$$,3.5,16,['delivery'],37 ne loop 410,-98.49087,29.52147,"['American (New)', 'Breakfast & Brunch']"
71,(210) 495-3447,11951.484544866362,57C7zHSto7HlSJR4XHO16Q,False,First Watch - Thousand Oaks,+12104953447,,4.0,16,[],16668 san pedro ave,-98.4713694,29.5951894,"['Cafes', 'Breakfast & Brunch', 'American (New)']"
72,(214) 282-3932,8327.147344686033,T5EIOlmzWAxnHXmBFd8T9Q,False,Gourmet On the Fly,+12142823932,$,4.0,7,[],,-98.5858154296875,29.4526869212149,"['Food Trucks', 'American (New)', 'Burgers']"
73,,8710.955676097867,OsXbDpR8pkp4yCcDEG3bIw,False,The Magpie,,,5.0,4,[],1602 e houston st,-98.47308,29.42489,"['Korean', 'Wine Bars', 'American (New)']"
74,(210) 486-2328,10636.783285610241,UPwGd1u52mEpJbEeduAaHQ,False,Artemisia's At SPC,+12104862328,,5.0,3,[],1801 martin luther king dr,-98.45452,29.41401,"['Cafeteria', 'American (New)']"
75,(210) 473-6377,11363.038520324568,iJxbQ9KAGFBabTJ_aNyCtQ,False,Chi Chi Birds Hot Chicken,+12104736377,,4.5,4,[],6422 babcock rd,-98.6156,29.54626,"['American (New)', 'Pop-Up Restaurants', 'Chicken Shop']"
76,,8073.416704308992,UYS35udDfDUvZTkfA3eXZQ,False,Blazin' Burgers Food Truck,,$,3.5,8,[],,,,"['Street Vendors', 'American (New)', 'Food Trucks']"
77,(210) 734-7184,5323.92218791589,WodoCjlSPnDx552pWJCUDQ,False,Zootennial Restaurant,+12107347184,$$,3.5,6,[],3903 n st mary's st,-98.4736340492963,29.4623022611927,"['Pizza', 'American (New)', 'Burgers']"
78,,6207.127139645585,r2lEgHINqEBwATcRrpgmDQ,False,Cilantro,,$$,4.0,4,[],1111 ne loop 410,-98.455688,29.517038,['American (New)']
79,(210) 377-3900,3458.271024318643,-fh9rAYxKJkpPVS0fLx5Vg,False,Asado Urban Grill,+12103773900,$$$,3.0,7,[],3233 nw loop 410,-98.5475234985352,29.5061302185059,"['American (New)', 'Breakfast & Brunch', 'Bars']"
80,(210) 223-3923,7973.463310788911,pov8efOwv9HcO54z7LZ7aQ,False,Judy's Food To Go,+12102233923,$,3.5,3,[],108 soledad st,-98.492729,29.425258,['American (New)']
81,(210) 525-9999,4987.9304736997365,yd7kkgeUZbbQot0uA4n6jQ,False,E’Terie Bar & Grill,+12105259999,,4.0,2,[],10110 us hwy 281 n,-98.4836581,29.5304421214427,"['Cocktail Bars', 'American (New)']"
82,(210) 800-1525,8073.416704308992,9QL55WA1sMGY0j1CpS2dug,False,MARS' Mobile Kitchen,+12108001525,$$,3.5,11,[],,,,"['Street Vendors', 'American (New)', 'Food Trucks']"
83,,14620.009051366016,4hShoGEhuabnbkLd2iH0dg,False,Coco & Lolly,,,2.5,3,[],15900 la cantera pkwy,-98.615711,29.592006,"['American (New)', 'Mexican']"
84,(210) 444-5389,10586.28244805153,8h6SIfTthw4c05VJEtZVkA,False,Terrace Club Restaurant,+12104445389,,2.5,2,[],one at & t center pkwy,-98.437675,29.42661,['American (New)']
85,(210) 509-7611,8663.055218889,nbIygUwGLpUPZgsqB3rWaQ,False,Taqueria Jalisco,+12105097611,,3.0,1,['delivery'],6003 bandera rd,-98.603513,29.4841895,['American (New)']
86,(210) 930-2866,5186.6036551959505,CEdmpooC1WdSkoKATUkL5Q,False,Alamo City Microbrewery & Grill,+12109302866,$$,1.5,4,[],9800 airport blvd,-98.4719849,29.5262299,['American (New)']
87,(210) 349-3373,1216.5999133945647,B5uuM5QnJU7MhtvFCHCtLA,False,Los Cocos Bakery,+12103493373,,4.0,1,[],3309 w ave,-98.526123,29.4915066,"['Bakeries', 'American (New)', 'Mexican']"
88,(210) 332-1900,14669.64737557376,5YxLUaIppqXW8Gtar0NwVg,False,Bazille,+12103321900,,3.0,2,[],15900 la cantera pkwy,-98.615105,29.594201,"['American (New)', 'Cocktail Bars']"
89,,14329.11001326207,k0Xvn7dU9GaNRfzvsDF8Ug,False,Biker Jim's,,,5.0,1,[],utsa 1604 campus,-98.6184692382812,29.5861396789551,['American (New)']
90,(210) 263-3340,12576.26475028125,B4KOaAWFIo5QCiORA3VbWA,False,J's Chicken And Waffles,+12102633340,,2.0,1,[],12521 nacogdoches rd,-98.40385,29.553917,"['Soul Food', 'American (New)']"
91,(210) 222-2521,8054.697723522756,AsL7ifh6n0r9eGkhij6-Ng,False,The Esquire Tavern,+12102222521,$$,4.0,2509,"['pickup', 'restaurant_reservation']",155 e commerce st,-98.4917683754631,29.4247334154792,"['Lounges', 'Burgers', 'American (Traditional)']"
92,(210) 314-7760,3323.168289795035,imR_DEGlWMVoFMhTa9pjxQ,False,Sabor Cocinabar,+12103147760,$$,4.5,374,['delivery'],4331 mccullough ave,-98.492007,29.4717878,"['Mexican', 'Breakfast & Brunch', 'American (Traditional)']"
93,(210) 483-7600,8340.907859570825,PLIGLhyC9PwmSt9m8a6Yvg,False,Max & Louie's New York Diner,+12104837600,$$,4.0,907,['delivery'],226 w bitters rd,-98.486054,29.565278,"['Diners', 'Breakfast & Brunch', 'American (Traditional)']"
94,(210) 616-0954,2758.8237756116373,jpkIekRcJwkheofnq4tyvw,False,Picnikins Patio Cafe,+12106160954,$$,4.5,405,['delivery'],6901 blanco rd,-98.50789,29.51892,"['American (New)', 'American (Traditional)']"
95,(210) 562-3075,6307.384930460427,uitnSU8Wv8LRT50y2w-Pmg,False,Embers Wood Fire Grill & Bar,+12105623075,$$,4.0,633,"['delivery', 'pickup', 'restaurant_reservation']",9818 i-10 w,-98.5638796538115,29.5313678598065,"['American (Traditional)', 'Bars']"
96,(210) 370-3779,10897.562876375305,7jHc6y8AJA-kTQcZ98iG-w,False,Courtyard Cafe,+12103703779,$,4.5,498,['pickup'],7600 eckhert rd,-98.6256989546503,29.5093437868539,"['Cafes', 'American (Traditional)', 'Sandwiches']"
97,(210) 696-5080,8520.762733417794,aMXaX_6fHJoBJahBhOzFAg,False,Flying Saucer Draught Emporium,+12106965080,$$,4.0,598,['delivery'],11255 huebner rd,-98.5773702051393,29.5480101806576,"['Bars', 'American (Traditional)']"
98,(210) 233-1249,6996.407916178756,R7uAhHQL3IXxlATny8KOnQ,False,Green Vegetarian Cuisine,+12102331249,$$,4.5,434,['delivery'],10003 nw military hwy,-98.5363480230089,29.5543913840854,['American (Traditional)']
99,(210) 437-4263,5402.27878035177,qAUBsHNG1xIxPEGalV2Brg,False,Cullum's Attagirl,+12104374263,$,4.0,388,['delivery'],726 e mistletoe,-98.485025,29.453132,"['American (Traditional)', 'Beer Bar']"
100,(210) 227-1187,9368.944081287129,CpZsZpaVeURirfk8h6Oorw,False,Liberty Bar,+12102271187,$$,4.0,686,['delivery'],1111 s alamo st,-98.492389,29.412391,"['American (Traditional)', 'Breakfast & Brunch', 'Salad']"
101,(210) 212-5727,9801.3796453895,wVVFSBnS8PXTZSXDtHZWPA,False,La Tuna Grill,+12102125727,$$,4.5,297,['delivery'],100 probandt st,-98.4960195883273,29.4077582365361,"['American (Traditional)', 'Seafood', 'Sandwiches']"
102,(210) 492-9464,12619.641031093282,lNTg24zSpDxVJBJY92Hn7g,False,Anchor Bar,+12104929464,$$,4.5,412,"['delivery', 'pickup']",4553 n loop 1604 w,-98.5710993014624,29.5966515787771,"['Chicken Wings', 'Bars', 'American (Traditional)']"
103,(210) 222-1849,7657.294011292648,NpB9QM71dOUKekVLjEwckw,False,Restaurant Gwendolyn,+12102221849,$$$$,4.5,248,['delivery'],152 e pecan st,-98.49154,29.42854,"['American (Traditional)', 'Modern European', 'Caterers']"
104,(210) 227-1521,7616.1606918750595,AMNb9E9NCwzmP6Cel0i9iA,False,Chas Market & Kitchen,+12102271521,$$,4.0,282,"['delivery', 'pickup']",1431 n pine st,-98.470536,29.437582,"['Korean', 'American (Traditional)', 'Mexican']"
105,(210) 224-6169,6555.463420204735,PZRiLW58f_OTo9iY46VojQ,False,Josephine Street,+12102246169,$$,4.0,433,['delivery'],400 e josephine st,-98.4782019,29.4446161,"['Steakhouses', 'American (Traditional)', 'Chicken Wings']"
106,(210) 474-6699,7050.333641454732,S03dN81Ae5tQAjymZGFUPQ,False,L & L Hawaiian Grill,+12104746699,$,4.0,298,"['delivery', 'pickup']",1302 austin hwy,-98.441582,29.489544,"['Hawaiian', 'Asian Fusion', 'American (Traditional)']"
107,(210) 224-2337,9182.912645251996,-azLu4PCWhMW-rGu3RCzyQ,False,The Friendly Spot Ice House,+12102242337,$,4.0,494,[],943 s alamo st,-98.490599,29.414498,"['Bars', 'American (Traditional)']"
108,(210) 224-9835,8036.809899683128,Ri8ny-KWMtWl5yokiKE56w,False,Iron Cactus,+12102249835,$$,3.5,1127,['delivery'],200 river walk,-98.491085,29.425072,"['Mexican', 'Bars', 'American (Traditional)']"
109,(210) 476-5010,6772.842370679697,u_0WZ-WvK9cWAks6dXdaGA,False,Earth Burger,+12104765010,$,4.5,95,['delivery'],2501 nacogdoches rd,-98.4501488,29.518579,"['Vegan', 'American (Traditional)']"
110,(210) 299-8110,9307.629338832412,iTm3wK_HmnnjcSd4fuN0vw,False,Mark's Outing,+12102998110,$,4.5,179,"['delivery', 'pickup']",1624 e commerce st,-98.4708068,29.4198356,"['Burgers', 'Hot Dogs', 'American (Traditional)']"
111,(210) 222-9092,8133.248041730323,34P8wyqZyO-PsyJ3jGBrEg,False,Saltgrass Steak House,+12102229092,$$,3.5,744,"['delivery', 'pickup']",502 riverwalk,-98.4886845,29.4248067,"['Steakhouses', 'Seafood', 'American (Traditional)']"
112,(210) 481-8776,6857.986873856169,i6UX_C4YDX6816PQGzY5Rw,False,Grayze,+12104818776,$$,3.5,381,"['delivery', 'pickup']",521 e grayson st,-98.47463,29.44345,"['American (Traditional)', 'Venues & Event Spaces', 'Bars']"
113,(210) 277-4770,2934.736502825122,5vYRfkwwa_93TPFdYzPevg,False,Shake Shack,+12102774770,$$,3.5,332,['delivery'],7427 san pedro ave,-98.4998115746294,29.5175745238617,"['American (Traditional)', 'Burgers', 'Fast Food']"
114,(210) 691-3447,6911.0573813013925,XqLcng650eC27U897RXiBg,False,First Watch,+12106913447,$$,4.0,275,[],9985 i-10,-98.56673,29.53669,"['Breakfast & Brunch', 'Cafes', 'American (Traditional)']"
115,(210) 558-5300,11365.509687853708,rlF5xzZW29fKv9CtFMjKag,False,Checo's Mexican & American Grill,+12105585300,$,4.0,187,"['delivery', 'pickup']",5999 de zavala rd,-98.6009893,29.5635149,"['Mexican', 'American (Traditional)', 'Breakfast & Brunch']"
116,(210) 647-7720,11137.12687827118,rwIcwyBXR14Zt6qQYroMWw,False,Pancake Joes,+12106477720,$,4.0,317,['delivery'],6703 ingram rd,-98.6243926361203,29.465043355164,"['American (Traditional)', 'Breakfast & Brunch']"
